sequence,target,function
"[8, 10, 7, 18, 17, 25]",35,padovan
"[50, 74, 98, 122, 146, 170]",194,arithmetic
"[6, 11, 21, 36, 56, 81]",111,step_up
"[16, 9, 5, 25, 14, 30]",39,padovan
"[9, 1, 7, 5, 9, 11]",17,fib_minus_const
"[14, 18, 7, 32, 25, 39]",57,padovan
"[7, 6, 8, 9, 12, 16]",23,fib_minus_const
"[6, 6, 10, 14, 22, 34]",54,fib_minus_const
"[43, 22, 87, 196, 479, 1154]",2787,pell
"[47, 67, 87, 107, 127, 147]",167,arithmetic
"[19, 7, 13, 26, 20, 39]",46,padovan
"[27, 56, 114, 230, 462, 926]",1854,linear_recursive
"[76, 71, 78, 73, 80, 75]",82,alternating_add_subtract
"[20, 15, 17, 12, 14, 9]",11,alternating_add_subtract
"[4, 9, 4, 17, 30, 51]",98,tribonacci
"[11, 47, 2, 60, 109, 171]",340,tribonacci
"[1, 20, 12, 21, 32, 33]",53,padovan
"[4, 16, 8, 12, 28, 36]",48,generate_sequence
"[5, 5, 6, 10, 11, 16]",21,padovan
"[14, 10, 19, 15, 24, 20]",29,alternating_add_subtract
"[44, 49, 59, 74, 94, 119]",149,step_up
"[10, 13, 16, 19, 22, 25]",28,arithmetic
"[11, 11, 33, 77, 187, 451]",1089,pell
"[30, 76, 168, 352, 720, 1456]",2928,linear_recursive
"[16, 62, 108, 154, 200, 246]",292,arithmetic
"[39, 51, 153, 165, 495, 507]",1521,alternating_sequence
"[18, 2, 3, 20, 5, 23]",25,padovan
"[47, 52, 104, 109, 218, 223]",446,alternating_sequence
"[2, 9, 23, 51, 107, 219]",443,linear_recursive
"[21, 37, 53, 69, 85, 101]",117,arithmetic
"[2, 7, 7, 12, 17, 27]",42,fib_minus_const
"[13, 1, 4, 14, 5, 18]",19,padovan
"[40, 205, 1030, 5155, 25780, 128905]",644530,linear_recursive
"[14, 26, 130, 142, 710, 722]",3610,alternating_sequence
"[42, 47, 188, 193, 772, 777]",3108,alternating_sequence
"[47, 45, 137, 319, 775, 1869]",4513,pell
"[7, 22, 66, 81, 243, 258]",774,alternating_sequence
"[26, 20, 28, 22, 30, 24]",32,alternating_add_subtract
"[8, 9, 26, 61, 148, 357]",862,pell
"[14, 5, 10, 24, 29, 39]",63,generate_sequence
"[50, 44, 138, 320, 778, 1876]",4530,pell
"[50, 9, 33, 92, 134, 259]",485,tribonacci
"[5, 32, 7, 44, 83, 134]",261,tribonacci
"[18, 8, 12, 26, 20, 38]",46,padovan
"[31, 40, 160, 169, 676, 685]",2740,alternating_sequence
"[68, 66, 64, 62, 60, 58]",56,arithmetic
"[7, 18, 19, 25, 37, 44]",62,padovan
"[35, 151, 615, 2471, 9895, 39591]",158375,linear_recursive
"[10, 6, 16, 22, 38, 60]",98,fibonacci
"[22, 38, 76, 92, 184, 200]",400,alternating_sequence
"[59, 71, 83, 95, 107, 119]",131,arithmetic
"[39, 7, 9, 55, 71, 135]",261,tribonacci
"[14, 10, 17, 24, 27, 41]",51,padovan
"[16, 15, 28, 59, 102, 189]",350,tribonacci
"[6, -13, -32, -51, -70, -89]",-108,arithmetic
"[30, 27, 30, 27, 30, 27]",30,alternating_add_subtract
"[26, 15, 41, 82, 138, 261]",481,tribonacci
"[29, 21, 71, 163, 397, 957]",2311,pell
"[10, 1, 5, 15, 16, 21]",36,generate_sequence
"[60, 52, 57, 49, 54, 46]",51,alternating_add_subtract
"[12, 14, 15, 26, 29, 41]",55,padovan
"[67, 73, 79, 85, 91, 97]",103,arithmetic
"[50, 45, 140, 325, 790, 1905]",4600,pell
"[7, 4, 5, 2, 3, 0]",1,alternating_add_subtract
"[35, -12, -59, -106, -153, -200]",-247,arithmetic
"[7, 19, 19, 26, 45, 64]",90,generate_sequence
"[2, 19, 20, 21, 39, 41]",60,padovan
"[4, 11, 1, 15, 12, 16]",27,padovan
"[9, 10, 18, 27, 44, 70]",113,fib_minus_const
"[4, 7, 1, 11, 8, 12]",19,padovan
"[72, 68, 64, 60, 56, 52]",48,arithmetic
"[14, 15, 20, 34, 49, 69]",103,generate_sequence
"[35, 12, 59, 130, 319, 768]",1855,pell
"[13, 43, 28, 84, 155, 267]",506,tribonacci
"[6, 26, 46, 66, 86, 106]",126,arithmetic
"[21, 5, -11, -27, -43, -59]",-75,arithmetic
"[15, 32, 2, 49, 83, 134]",266,tribonacci
"[95, 93, 97, 95, 99, 97]",101,alternating_add_subtract
"[1, 23, 45, 67, 89, 111]",133,arithmetic
"[9, 2, 20, 29, 31, 51]",80,generate_sequence
"[11, 26, 52, 67, 134, 149]",298,alternating_sequence
"[6, 35, 64, 93, 122, 151]",180,arithmetic
"[18, 20, 1, 19, 39, 40]",59,generate_sequence
"[22, 75, 234, 711, 2142, 6435]",19314,linear_recursive
"[5, 5, 5, 5, 5, 5]",5,fib_minus_const
"[16, -2, -20, -38, -56, -74]",-92,arithmetic
"[3, 29, 55, 81, 107, 133]",159,arithmetic
"[38, 17, -4, -25, -46, -67]",-88,arithmetic
"[19, 26, 33, 78, 137, 248]",463,tribonacci
"[25, 9, 43, 95, 233, 561]",1355,pell
"[68, 69, 71, 74, 78, 83]",89,step_up
"[94, 87, 88, 81, 82, 75]",76,alternating_add_subtract
"[12, 27, 42, 57, 72, 87]",102,arithmetic
"[10, 14, 16, 26, 40, 56]",82,generate_sequence
"[26, 144, 734, 3684, 18434, 92184]",460934,linear_recursive
"[17, 30, 47, 77, 124, 201]",325,fibonacci
"[81, 72, 80, 71, 79, 70]",78,alternating_add_subtract
"[4, -1, -6, -11, -16, -21]",-26,arithmetic
"[19, 20, 21, 22, 23, 24]",25,arithmetic
"[6, 53, 100, 147, 194, 241]",288,arithmetic
"[5, -3, 0, -8, -5, -13]",-10,alternating_add_subtract
"[37, 36, 73, 109, 182, 291]",473,fibonacci
"[25, 20, 65, 150, 365, 880]",2125,pell
"[81, 72, 81, 72, 81, 72]",81,alternating_add_subtract
"[1, 10, 13, 14, 24, 37]",51,generate_sequence
"[15, 1, 12, 27, 28, 40]",67,generate_sequence
"[35, 33, 101, 235, 571, 1377]",3325,pell
"[10, 19, 14, 29, 33, 43]",62,padovan
"[21, 35, 49, 63, 77, 91]",105,arithmetic
"[98, 135, 172, 209, 246, 283]",320,arithmetic
"[70, 66, 74, 70, 78, 74]",82,alternating_add_subtract
"[21, 13, 20, 12, 19, 11]",18,alternating_add_subtract
"[10, 41, 92, 225, 542, 1309]",3160,pell
"[30, 94, 286, 862, 2590, 7774]",23326,linear_recursive
"[16, 3, 7, 23, 26, 33]",56,generate_sequence
"[8, 38, 46, 84, 130, 214]",344,fibonacci
"[7, 11, 18, 18, 29, 36]",47,padovan
"[19, 20, 11, 39, 31, 50]",70,padovan
"[92, 91, 96, 95, 100, 99]",104,alternating_add_subtract
"[14, 4, 10, 24, 28, 38]",62,generate_sequence
"[14, 52, 166, 508, 1534, 4612]",13846,linear_recursive
"[18, 2, 22, 46, 114, 274]",662,pell
"[39, 40, 80, 81, 162, 163]",326,alternating_sequence
"[18, 15, 8, 26, 41, 49]",75,generate_sequence
"[1, 7, 12, 8, 19, 20]",27,padovan
"[2, 15, 15, 17, 32, 47]",64,generate_sequence
"[5, -15, -35, -55, -75, -95]",-115,arithmetic
"[42, 1, 22, 65, 88, 175]",328,tribonacci
"[3, 8, 10, 11, 18, 21]",29,padovan
"[88, 56, 24, -8, -40, -72]",-104,arithmetic
"[63, 36, 9, -18, -45, -72]",-99,arithmetic
"[6, 15, 30, 39, 78, 87]",174,alternating_sequence
"[12, 1, 4, 13, 5, 17]",18,padovan
"[8, 17, 51, 60, 180, 189]",567,alternating_sequence
"[15, 2, 14, 29, 31, 45]",74,generate_sequence
"[3, 4, 5, 7, 10, 15]",23,fib_minus_const
"[40, 26, 16, 82, 124, 222]",428,tribonacci
"[38, 32, 33, 27, 28, 22]",23,alternating_add_subtract
"[40, 21, 82, 185, 452, 1089]",2630,pell
"[7, 3, -1, -5, -9, -13]",-17,arithmetic
"[20, 48, 76, 104, 132, 160]",188,arithmetic
"[19, -19, -57, -95, -133, -171]",-209,arithmetic
"[42, 47, 136, 319, 774, 1867]",4508,pell
"[60, 57, 61, 58, 62, 59]",63,alternating_add_subtract
"[20, 67, 114, 161, 208, 255]",302,arithmetic
"[33, 173, 873, 4373, 21873, 109373]",546873,linear_recursive
"[48, 109, 231, 475, 963, 1939]",3891,linear_recursive
"[1, 18, 90, 107, 535, 552]",2760,alternating_sequence
"[8, 10, 18, 28, 46, 74]",120,fibonacci
"[29, 64, 99, 134, 169, 204]",239,arithmetic
"[25, -11, -47, -83, -119, -155]",-191,arithmetic
"[18, 15, 13, 33, 28, 46]",61,padovan
"[30, 39, 48, 57, 66, 75]",84,arithmetic
"[40, 28, 8, 76, 112, 196]",384,tribonacci
"[83, 76, 79, 72, 75, 68]",71,alternating_add_subtract
"[13, 2, 9, 15, 11, 24]",26,padovan
"[16, 68, 224, 692, 2096, 6308]",18944,linear_recursive
"[36, 151, 611, 2451, 9811, 39251]",157011,linear_recursive
"[49, 32, 47, 128, 207, 382]",717,tribonacci
"[49, 30, 5, 84, 119, 208]",411,tribonacci
"[50, 12, 74, 160, 394, 948]",2290,pell
"[20, 8, 14, 34, 42, 56]",90,generate_sequence
"[1, 4, 3, 5, 7, 8]",12,padovan
"[18, 14, 21, 17, 24, 20]",27,alternating_add_subtract
"[39, 38, 47, 46, 55, 54]",63,alternating_add_subtract
"[2, 16, 41, 59, 116, 216]",391,tribonacci
"[84, 76, 85, 77, 86, 78]",87,alternating_add_subtract
"[3, 8, 8, 11, 16, 19]",27,padovan
"[1, 14, 70, 83, 415, 428]",2140,alternating_sequence
"[28, 9, -10, -29, -48, -67]",-86,arithmetic
"[1, 17, 4, 18, 21, 22]",39,padovan
"[30, 20, 5, 55, 80, 140]",275,tribonacci
"[1, 11, 41, 131, 401, 1211]",3641,linear_recursive
"[94, 61, 28, -5, -38, -71]",-104,arithmetic
"[8, 13, 3, 21, 16, 24]",37,padovan
"[53, 98, 143, 188, 233, 278]",323,arithmetic
"[44, 61, 183, 200, 600, 617]",1851,alternating_sequence
"[36, 33, 41, 38, 46, 43]",51,alternating_add_subtract
"[7, 20, 19, 26, 46, 65]",91,generate_sequence
"[19, 10, 1, 20, 30, 31]",51,generate_sequence
"[55, 10, -35, -80, -125, -170]",-215,arithmetic
"[12, 19, 1, 13, 32, 33]",46,generate_sequence
"[22, 14, 36, 50, 86, 136]",222,fibonacci
"[32, 33, 99, 100, 300, 301]",903,alternating_sequence
"[67, 117, 167, 217, 267, 317]",367,arithmetic
"[8, 1, 10, 21, 52, 125]",302,pell
"[44, 26, 96, 218, 532, 1282]",3096,pell
"[27, 40, 107, 254, 615, 1484]",3583,pell
"[18, -18, -54, -90, -126, -162]",-198,arithmetic
"[5, 19, 3, 24, 22, 27]",46,padovan
"[61, 59, 69, 67, 77, 75]",85,alternating_add_subtract
"[31, 37, 185, 191, 955, 961]",4805,alternating_sequence
"[8, 6, 1, 9, 15, 16]",25,generate_sequence
"[34, 184, 934, 4684, 23434, 117184]",585934,linear_recursive
"[28, 18, 20, 10, 12, 2]",4,alternating_add_subtract
"[2, 40, 42, 82, 124, 206]",330,fibonacci
"[16, 15, 40, 71, 126, 237]",434,tribonacci
"[31, 156, 781, 3906, 19531, 97656]",488281,linear_recursive
"[5, 16, 7, 12, 28, 35]",47,generate_sequence
"[67, 53, 39, 25, 11, -3]",-17,arithmetic
"[1, 14, 7, 8, 22, 29]",37,generate_sequence
"[12, 14, 17, 26, 31, 43]",57,padovan
"[4, 10, 12, 20, 30, 48]",76,fib_minus_const
"[39, 35, 109, 253, 615, 1483]",3581,pell
"[89, 133, 177, 221, 265, 309]",353,arithmetic
"[17, 4, 2, 21, 6, 23]",27,padovan
"[8, 20, 11, 28, 31, 39]",59,padovan
"[7, 4, 6, 13, 17, 23]",36,generate_sequence
"[36, 49, 62, 75, 88, 101]",114,arithmetic
"[17, 12, 19, 14, 21, 16]",23,alternating_add_subtract
"[22, 21, 24, 23, 26, 25]",28,alternating_add_subtract
"[16, 8, 32, 72, 176, 424]",1024,pell
"[5, -38, -81, -124, -167, -210]",-253,arithmetic
"[22, 57, 92, 127, 162, 197]",232,arithmetic
"[11, 16, 8, 19, 35, 43]",62,generate_sequence
"[35, 10, 55, 120, 295, 710]",1715,pell
"[24, 10, 31, 65, 106, 202]",373,tribonacci
"[43, 48, 139, 326, 791, 1908]",4607,pell
"[97, 89, 94, 86, 91, 83]",88,alternating_add_subtract
"[56, 59, 65, 74, 86, 101]",119,step_up
"[45, 17, 79, 175, 429, 1033]",2495,pell
"[30, 62, 126, 254, 510, 1022]",2046,linear_recursive
"[3, 44, 85, 126, 167, 208]",249,arithmetic
"[3, 2, 8, 11, 13, 21]",32,generate_sequence
"[8, 3, 7, 11, 10, 18]",21,padovan
"[21, 46, 96, 196, 396, 796]",1596,linear_recursive
"[3, 5, 9, 8, 14, 17]",22,padovan
"[20, 6, 2, 22, 28, 30]",52,generate_sequence
"[19, 43, 27, 89, 159, 275]",523,tribonacci
"[13, 32, 18, 63, 113, 194]",370,tribonacci
"[40, 36, 112, 260, 632, 1524]",3680,pell
"[28, 20, 68, 156, 380, 916]",2212,pell
"[38, 31, 16, 85, 132, 233]",450,tribonacci
"[18, 5, 1, 24, 30, 55]",109,tribonacci
"[19, 41, 85, 173, 349, 701]",1405,linear_recursive
"[95, 92, 97, 94, 99, 96]",101,alternating_add_subtract
"[96, 65, 34, 3, -28, -59]",-90,arithmetic
"[13, 9, 15, 11, 17, 13]",19,alternating_add_subtract
"[16, 12, 18, 28, 30, 46]",58,padovan
"[6, 37, 192, 967, 4842, 24217]",121092,linear_recursive
"[7, 19, 13, 26, 32, 39]",58,padovan
"[4, 13, 2, 17, 15, 19]",32,padovan
"[22, 55, 88, 121, 154, 187]",220,arithmetic
"[8, 4, 7, 15, 19, 26]",41,generate_sequence
"[19, -21, -61, -101, -141, -181]",-221,arithmetic
"[22, 34, 56, 90, 146, 236]",382,fibonacci
"[5, 2, 15, 7, 17, 22]",24,padovan
"[7, 1, 10, 8, 11, 18]",19,padovan
"[20, 60, 140, 300, 620, 1260]",2540,linear_recursive
"[50, 68, 86, 104, 122, 140]",158,arithmetic
"[43, 191, 783, 3151, 12623, 50511]",202063,linear_recursive
"[44, 30, 25, 99, 154, 278]",531,tribonacci
"[39, 45, 225, 231, 1155, 1161]",5805,alternating_sequence
"[11, 55, 231, 935, 3751, 15015]",60071,linear_recursive
"[26, 1, 9, 36, 46, 91]",173,tribonacci
"[36, 43, 122, 287, 696, 1679]",4054,pell
"[17, 13, 14, 10, 11, 7]",8,alternating_add_subtract
"[46, 49, 24, 119, 192, 335]",646,tribonacci
"[19, 6, 4, 23, 29, 33]",56,generate_sequence
"[71, 55, 39, 23, 7, -9]",-25,arithmetic
"[7, 14, 17, 21, 31, 38]",52,padovan
"[26, 68, 152, 320, 656, 1328]",2672,linear_recursive
"[17, 18, 6, 35, 24, 41]",59,padovan
"[13, 42, 100, 216, 448, 912]",1840,linear_recursive
"[34, 51, 153, 170, 510, 527]",1581,alternating_sequence
"[29, 43, 12, 84, 139, 235]",458,tribonacci
"[39, 35, 15, 89, 139, 243]",471,tribonacci
"[76, 73, 70, 67, 64, 61]",58,arithmetic
"[34, 141, 569, 2281, 9129, 36521]",146089,linear_recursive
"[29, 31, 35, 41, 49, 59]",71,step_up
"[33, 47, 94, 108, 216, 230]",460,alternating_sequence
"[60, 53, 60, 53, 60, 53]",60,alternating_add_subtract
"[41, 42, 126, 127, 381, 382]",1146,alternating_sequence
"[5, 4, 5, 10, 14, 19]",29,generate_sequence
"[17, 12, 6, 29, 18, 35]",47,padovan
"[14, 43, 130, 391, 1174, 3523]",10570,linear_recursive
"[4, 23, 115, 134, 670, 689]",3445,alternating_sequence
"[65, 94, 123, 152, 181, 210]",239,arithmetic
"[26, 118, 486, 1958, 7846, 31398]",125606,linear_recursive
"[21, -18, -57, -96, -135, -174]",-213,arithmetic
"[18, 4, 19, 37, 41, 60]",97,generate_sequence
"[17, 9, 26, 35, 61, 96]",157,fibonacci
"[50, 259, 1304, 6529, 32654, 163279]",816404,linear_recursive
"[24, 86, 272, 830, 2504, 7526]",22592,linear_recursive
"[22, 59, 133, 281, 577, 1169]",2353,linear_recursive
"[34, 35, 104, 243, 590, 1423]",3436,pell
"[8, 11, 30, 71, 172, 415]",1002,pell
"[66, 60, 54, 48, 42, 36]",30,arithmetic
"[2, 20, 40, 58, 116, 134]",268,alternating_sequence
"[10, -19, -48, -77, -106, -135]",-164,arithmetic
"[46, 35, 20, 101, 156, 277]",534,tribonacci
"[41, 216, 1091, 5466, 27341, 136716]",683591,linear_recursive
"[35, 25, 85, 195, 475, 1145]",2765,pell
"[14, 4, 5, 19, 23, 28]",47,generate_sequence
"[6, 7, 21, 22, 66, 67]",201,alternating_sequence
"[10, 8, 8, 18, 16, 26]",34,padovan
"[14, 51, 88, 125, 162, 199]",236,arithmetic
"[22, -18, -58, -98, -138, -178]",-218,arithmetic
"[17, 8, 7, 24, 32, 39]",63,generate_sequence
"[35, 38, 73, 111, 184, 295]",479,fibonacci
"[34, 36, 20, 90, 146, 256]",492,tribonacci
"[8, 15, 19, 23, 34, 42]",57,padovan
"[65, 110, 155, 200, 245, 290]",335,arithmetic
"[78, 71, 72, 65, 66, 59]",60,alternating_add_subtract
"[28, 20, 28, 20, 28, 20]",28,alternating_add_subtract
"[27, 41, 164, 178, 712, 726]",2904,alternating_sequence
"[5, 3, 7, 12, 15, 22]",34,generate_sequence
"[48, 61, 74, 87, 100, 113]",126,arithmetic
"[43, 98, 208, 428, 868, 1748]",3508,linear_recursive
"[3, 1, 7, 4, 8, 11]",12,padovan
"[18, 34, 52, 86, 138, 224]",362,fibonacci
"[28, 11, 31, 70, 112, 213]",395,tribonacci
"[33, 38, 48, 63, 83, 108]",138,step_up
"[21, 54, 120, 252, 516, 1044]",2100,linear_recursive
"[23, 26, 49, 75, 124, 199]",323,fibonacci
"[14, 4, 10, 18, 14, 28]",32,padovan
"[41, 47, 188, 194, 776, 782]",3128,alternating_sequence
"[76, 78, 80, 82, 84, 86]",88,arithmetic
"[28, 6, -16, -38, -60, -82]",-104,arithmetic
"[10, 20, 15, 30, 35, 45]",65,padovan
"[25, 39, 78, 92, 184, 198]",396,alternating_sequence
"[40, 43, 129, 132, 396, 399]",1197,alternating_sequence
"[7, 31, 25, 63, 119, 207]",389,tribonacci
"[31, 24, 4, 59, 87, 150]",296,tribonacci
"[68, 101, 134, 167, 200, 233]",266,arithmetic
"[19, 11, 13, 30, 24, 43]",54,padovan
"[17, 5, 27, 59, 145, 349]",843,pell
"[15, 8, 17, 23, 25, 40]",48,padovan
"[17, 8, 15, 6, 13, 4]",11,alternating_add_subtract
"[95, 135, 175, 215, 255, 295]",335,arithmetic
"[45, 13, -19, -51, -83, -115]",-147,arithmetic
"[20, 20, 3, 23, 43, 46]",69,generate_sequence
"[5, 5, 16, 21, 26, 42]",63,generate_sequence
"[19, 19, 19, 38, 57, 76]",114,generate_sequence
"[5, 10, 12, 15, 22, 27]",37,padovan
"[84, 74, 78, 68, 72, 62]",66,alternating_add_subtract
"[5, 8, 2, 13, 10, 15]",23,padovan
"[9, 13, 11, 22, 24, 33]",46,padovan
"[30, 44, 88, 102, 204, 218]",436,alternating_sequence
"[1, 7, 25, 79, 241, 727]",2185,linear_recursive
"[35, -2, -39, -76, -113, -150]",-187,arithmetic
"[27, 68, 150, 314, 642, 1298]",2610,linear_recursive
"[7, 5, 19, 26, 31, 50]",76,generate_sequence
"[6, 14, 3, 9, 23, 26]",35,generate_sequence
"[98, 89, 99, 90, 100, 91]",101,alternating_add_subtract
"[2, 8, 26, 80, 242, 728]",2186,linear_recursive
"[4, 20, 40, 56, 112, 128]",256,alternating_sequence
"[12, 16, 16, 28, 32, 44]",60,padovan
"[3, 45, 31, 79, 155, 265]",499,tribonacci
"[40, 39, 47, 46, 54, 53]",61,alternating_add_subtract
"[1, 4, 5, 9, 14, 23]",37,fibonacci
"[4, 27, 12, 43, 82, 137]",262,tribonacci
"[11, 16, 80, 85, 425, 430]",2150,alternating_sequence
"[3, 17, 5, 8, 25, 30]",38,generate_sequence
"[99, 90, 91, 82, 83, 74]",75,alternating_add_subtract
"[14, 15, 4, 18, 33, 37]",55,generate_sequence
"[35, 25, 60, 85, 145, 230]",375,fibonacci
"[20, 73, 232, 709, 2140, 6433]",19312,linear_recursive
"[11, 20, 29, 38, 47, 56]",65,arithmetic
"[17, 16, 33, 49, 82, 131]",213,fibonacci
"[13, 16, 45, 106, 257, 620]",1497,pell
"[46, 33, 18, 97, 148, 263]",508,tribonacci
"[14, 5, 6, 19, 11, 25]",30,padovan
"[98, 146, 194, 242, 290, 338]",386,arithmetic
"[1, 6, 2, 3, 0, -2]",-7,fib_minus_const
"[24, 17, 23, 16, 22, 15]",21,alternating_add_subtract
"[50, 26, 102, 230, 562, 1354]",3270,pell
"[11, 3, 14, 14, 17, 28]",31,padovan
"[16, -33, -82, -131, -180, -229]",-278,arithmetic
"[57, 73, 89, 105, 121, 137]",153,arithmetic
"[4, 23, 50, 123, 296, 715]",1726,pell
"[32, 28, 88, 204, 496, 1196]",2888,pell
"[9, 19, 5, 28, 24, 33]",52,padovan
"[1, 8, 6, 11, 14, 22]",33,fib_minus_const
"[18, 13, 18, 36, 49, 67]",103,generate_sequence
"[16, 14, 4, 30, 18, 34]",48,padovan
"[8, 5, 12, 16, 27, 42]",68,fib_minus_const
"[13, -1, -15, -29, -43, -57]",-71,arithmetic
"[1, 10, 15, 11, 25, 26]",36,padovan
"[19, 23, 42, 65, 107, 172]",279,fibonacci
"[25, 24, 23, 22, 21, 20]",19,arithmetic
"[21, 5, 30, 56, 91, 177]",324,tribonacci
"[4, 10, 14, 18, 28, 42]",60,generate_sequence
"[45, 47, 139, 325, 789, 1903]",4595,pell
"[15, 2, 11, 17, 13, 28]",30,padovan
"[23, 25, 36, 84, 145, 265]",494,tribonacci
"[4, 23, 46, 65, 130, 149]",298,alternating_sequence
"[17, 11, 4, 21, 32, 36]",57,generate_sequence
"[13, 3, 13, 16, 16, 29]",32,padovan
"[18, 37, 92, 221, 534, 1289]",3112,pell
"[19, 85, 349, 1405, 5629, 22525]",90109,linear_recursive
"[89, 108, 127, 146, 165, 184]",203,arithmetic
"[56, 52, 61, 57, 66, 62]",71,alternating_add_subtract
"[93, 115, 137, 159, 181, 203]",225,arithmetic
"[3, 48, 99, 246, 591, 1428]",3447,pell
"[17, 69, 225, 693, 2097, 6309]",18945,linear_recursive
"[15, 20, 30, 45, 65, 90]",120,step_up
"[6, 8, 11, 17, 25, 36]",53,generate_sequence
"[7, 1, 7, 7, 13, 19]",31,fib_minus_const
"[1, 2, 5, 12, 29, 70]",169,pell
"[50, 2, 54, 110, 274, 658]",1590,pell
"[67, 62, 57, 52, 47, 42]",37,arithmetic
"[28, 12, 52, 116, 284, 684]",1652,pell
"[22, 17, 24, 19, 26, 21]",28,alternating_add_subtract
"[3, 25, 47, 69, 91, 113]",135,arithmetic
"[23, 41, 164, 182, 728, 746]",2984,alternating_sequence
"[11, 10, 18, 21, 28, 39]",49,padovan
"[34, 35, 140, 141, 564, 565]",2260,alternating_sequence
"[12, 16, 2, 14, 30, 32]",46,generate_sequence
"[17, 24, 48, 55, 110, 117]",234,alternating_sequence
"[90, 89, 92, 91, 94, 93]",96,alternating_add_subtract
"[71, 60, 49, 38, 27, 16]",5,arithmetic
"[95, 93, 95, 93, 95, 93]",95,alternating_add_subtract
"[27, 67, 107, 147, 187, 227]",267,arithmetic
"[32, 16, 48, 64, 112, 176]",288,fibonacci
"[74, 117, 160, 203, 246, 289]",332,arithmetic
"[25, 64, 142, 298, 610, 1234]",2482,linear_recursive
"[31, 33, 64, 97, 161, 258]",419,fibonacci
"[10, 3, 1, 11, 14, 15]",26,generate_sequence
"[29, 38, 190, 199, 995, 1004]",5020,alternating_sequence
"[14, 20, 20, 34, 40, 54]",74,padovan
"[10, 24, 34, 58, 92, 150]",242,fibonacci
"[14, 12, 26, 38, 64, 102]",166,fibonacci
"[17, 5, -7, -19, -31, -43]",-55,arithmetic
"[40, 51, 62, 73, 84, 95]",106,arithmetic
"[14, 34, 48, 82, 130, 212]",342,fibonacci
"[7, 14, 11, 18, 32, 43]",61,generate_sequence
"[3, 2, 46, 51, 99, 196]",346,tribonacci
"[44, 47, 50, 53, 56, 59]",62,arithmetic
"[8, 4, 7, 3, 6, 2]",5,alternating_add_subtract
"[6, 13, 26, 33, 66, 73]",146,alternating_sequence
"[19, 20, 9, 28, 48, 57]",85,generate_sequence
"[3, 10, 7, 13, 17, 20]",30,padovan
"[3, 27, 30, 57, 87, 144]",231,fibonacci
"[12, 3, 11, 15, 14, 26]",29,padovan
"[10, 20, 41, 71, 132, 244]",447,tribonacci
"[5, 30, 65, 160, 385, 930]",2245,pell
"[2, 4, 16, 18, 22, 38]",56,generate_sequence
"[16, 17, 3, 19, 36, 39]",58,generate_sequence
"[30, 9, -12, -33, -54, -75]",-96,arithmetic
"[35, 30, 25, 20, 15, 10]",5,arithmetic
"[94, 142, 190, 238, 286, 334]",382,arithmetic
"[49, 7, 48, 104, 159, 311]",574,tribonacci
"[7, 14, 17, 24, 38, 55]",79,generate_sequence
"[71, 28, -15, -58, -101, -144]",-187,arithmetic
"[17, 95, 485, 2435, 12185, 60935]",304685,linear_recursive
"[22, 16, 26, 20, 30, 24]",34,alternating_add_subtract
"[2, 4, 1, 6, 5, 7]",11,padovan
"[12, 9, 1, 22, 32, 55]",109,tribonacci
"[9, 4, 8, 3, 7, 2]",6,alternating_add_subtract
"[79, 78, 80, 79, 81, 80]",82,alternating_add_subtract
"[22, 38, 114, 130, 390, 406]",1218,alternating_sequence
"[33, 57, 81, 105, 129, 153]",177,arithmetic
"[14, 6, 26, 58, 142, 342]",826,pell
"[33, 34, 68, 69, 138, 139]",278,alternating_sequence
"[7, 19, 20, 26, 39, 46]",65,padovan
"[89, 71, 53, 35, 17, -1]",-19,arithmetic
"[42, 22, 12, 76, 110, 198]",384,tribonacci
"[33, 3, 36, 39, 75, 114]",189,fibonacci
"[9, 2, -5, -12, -19, -26]",-33,arithmetic
"[26, 36, 108, 118, 354, 364]",1092,alternating_sequence
"[50, 10, -30, -70, -110, -150]",-190,arithmetic
"[31, 28, 38, 35, 45, 42]",52,alternating_add_subtract
"[14, 20, 12, 34, 32, 46]",66,padovan
"[5, 39, 45, 89, 173, 307]",569,tribonacci
"[30, 15, 47, 92, 154, 293]",539,tribonacci
"[1, 7, 14, 8, 21, 22]",29,padovan
"[47, 14, 1, 62, 77, 140]",279,tribonacci
"[25, 18, 61, 140, 341, 822]",1985,pell
"[8, 18, 8, 26, 26, 34]",52,padovan
"[40, 45, 225, 230, 1150, 1155]",5775,alternating_sequence
"[11, 10, 19, 21, 29, 40]",50,padovan
"[4, 7, 9, 14, 21, 33]",52,fib_minus_const
"[11, 60, 305, 1530, 7655, 38280]",191405,linear_recursive
"[21, 49, 14, 84, 147, 245]",476,tribonacci
"[69, 48, 27, 6, -15, -36]",-57,arithmetic
"[75, 26, -23, -72, -121, -170]",-219,arithmetic
"[38, 49, 136, 321, 778, 1877]",4532,pell
"[9, 2, 16, 25, 27, 43]",68,generate_sequence
"[27, 17, 21, 11, 15, 5]",9,alternating_add_subtract
"[40, 129, 396, 1197, 3600, 10809]",32436,linear_recursive
"[50, 69, 276, 295, 1180, 1199]",4796,alternating_sequence
"[28, 118, 478, 1918, 7678, 30718]",122878,linear_recursive
"[1, 8, 18, 19, 27, 45]",64,generate_sequence
"[10, 9, 17, 27, 36, 53]",80,generate_sequence
"[24, 56, 88, 120, 152, 184]",216,arithmetic
