sequence,target,function,tier
"[5, 3, 19, 24, 27, 46]",70,generate_sequence,2
"[14, 6, 9, 23, 29, 38]",61,generate_sequence,2
"[7, 34, 75, 184, 443, 1070]",2583,pell,2
"[55, 92, 129, 166, 203, 240]",277,arithmetic,3
"[10, 15, 25, 40, 65, 105]",170,fibonacci,2
"[18, 27, 108, 117, 468, 477]",1908,alternating_sequence,2
"[18, 1, 45, 64, 110, 219]",393,tribonacci,2
"[2, 2, 14, 16, 18, 32]",48,generate_sequence,2
"[28, 35, 105, 112, 336, 343]",1029,alternating_sequence,2
"[46, 44, 46, 44, 46, 44]",46,alternating_add_subtract,2
"[18, 50, 14, 82, 146, 242]",470,tribonacci,2
"[12, 36, 84, 204, 492, 1188]",2868,pell,2
"[79, 32, -15, -62, -109, -156]",-203,arithmetic,3
"[24, 24, 29, 77, 130, 236]",443,tribonacci,2
"[71, 63, 66, 58, 61, 53]",56,alternating_add_subtract,2
"[41, -9, -59, -109, -159, -209]",-259,arithmetic,3
"[4, 17, 4, 21, 21, 25]",42,padovan,3
"[16, 1, 13, 17, 14, 30]",31,padovan,3
"[14, 17, 17, 31, 34, 48]",65,padovan,3
"[42, -4, -50, -96, -142, -188]",-234,arithmetic,3
"[15, 17, 1, 32, 18, 33]",50,padovan,3
"[46, 30, 11, 87, 128, 226]",441,tribonacci,2
"[34, 20, 54, 74, 128, 202]",330,fibonacci,2
"[56, 49, 52, 45, 48, 41]",44,alternating_add_subtract,2
"[87, 61, 35, 9, -17, -43]",-69,arithmetic,3
"[38, -152, 608, -2432, 9728, -38912]",155648,geometric,2
"[19, 2, 20, 21, 22, 41]",43,padovan,3
"[87, 130, 173, 216, 259, 302]",345,arithmetic,3
"[37, 30, 34, 27, 31, 24]",28,alternating_add_subtract,2
"[2, 11, 29, 65, 137, 281]",569,linear_recursive,2
"[14, 20, 13, 34, 33, 47]",67,padovan,3
"[17, 49, 9, 75, 133, 217]",425,tribonacci,2
"[54, 68, 82, 96, 110, 124]",138,arithmetic,3
"[46, 60, 300, 314, 1570, 1584]",7920,alternating_sequence,2
"[7, 10, 12, 17, 22, 29]",39,padovan,3
"[13, 6, 11, 19, 17, 30]",36,padovan,3
"[8, 57, 106, 155, 204, 253]",302,arithmetic,3
"[8, 15, 8, 31, 54, 93]",178,tribonacci,2
"[3, 19, 10, 22, 29, 32]",51,padovan,3
"[18, 1, 18, 19, 19, 37]",38,padovan,3
"[18, 8, 26, 34, 60, 94]",154,fibonacci,2
"[32, 31, 33, 32, 34, 33]",35,alternating_add_subtract,2
"[71, 95, 119, 143, 167, 191]",215,arithmetic,3
"[97, 123, 149, 175, 201, 227]",253,arithmetic,3
"[58, 18, -22, -62, -102, -142]",-182,arithmetic,3
"[16, 8, 13, 24, 21, 37]",45,padovan,3
"[5, 8, 16, 21, 29, 45]",66,generate_sequence,2
"[17, 3, 17, 34, 37, 54]",88,generate_sequence,2
"[5, 1, 16, 6, 17, 22]",23,padovan,3
"[7, 18, 12, 19, 37, 49]",68,generate_sequence,2
"[20, 6, 15, 26, 21, 41]",47,padovan,3
"[30, 65, 135, 275, 555, 1115]",2235,linear_recursive,2
"[26, 24, 31, 29, 36, 34]",41,alternating_add_subtract,2
"[90, 85, 86, 81, 82, 77]",78,alternating_add_subtract,2
"[17, 1, 12, 18, 13, 30]",31,padovan,3
"[30, 13, 32, 75, 120, 227]",422,tribonacci,2
"[88, 43, -2, -47, -92, -137]",-182,arithmetic,3
"[26, 2, 28, 30, 58, 88]",146,fibonacci,2
"[41, 0, 0, 0, 0, 0]",0,geometric,2
"[12, 3, 11, 2, 10, 1]",9,alternating_add_subtract,2
"[9, 19, 9, 28, 28, 37]",56,padovan,3
"[41, 42, 210, 211, 1055, 1056]",5280,alternating_sequence,2
"[7, 5, 7, 7, 9, 11]",15,fib_minus_const,1
"[18, 89, 373, 1509, 6053, 24229]",96933,linear_recursive,2
"[24, 16, 40, 56, 96, 152]",248,fibonacci,2
"[19, 5, 1, 20, 25, 26]",46,generate_sequence,2
"[14, 18, 13, 27, 45, 58]",85,generate_sequence,2
"[8, 7, 9, 8, 10, 9]",11,alternating_add_subtract,2
"[44, 56, 168, 180, 540, 552]",1656,alternating_sequence,2
"[2, 13, 8, 15, 21, 23]",36,padovan,3
"[33, 55, 77, 99, 121, 143]",165,arithmetic,3
"[20, 16, 19, 36, 35, 55]",71,padovan,3
"[17, 10, 4, 31, 45, 80]",156,tribonacci,2
"[9, 13, 18, 22, 31, 40]",53,padovan,3
"[14, 11, 14, 25, 25, 39]",50,padovan,3
"[23, 36, 29, 88, 153, 270]",511,tribonacci,2
"[10, 9, 17, 24, 39, 61]",98,fib_minus_const,1
"[3, 21, 24, 45, 69, 114]",183,fibonacci,2
"[32, 172, 872, 4372, 21872, 109372]",546872,linear_recursive,2
"[31, 43, 215, 227, 1135, 1147]",5735,alternating_sequence,2
"[16, 8, 12, 24, 20, 36]",44,padovan,3
"[12, 51, 168, 519, 1572, 4731]",14208,linear_recursive,2
"[32, 175, 890, 4465, 22340, 111715]",558590,linear_recursive,2
"[20, 53, 86, 119, 152, 185]",218,arithmetic,3
"[0, 13, 26, 39, 52, 65]",78,arithmetic,3
"[22, 30, 120, 128, 512, 520]",2080,alternating_sequence,2
"[75, 71, 81, 77, 87, 83]",93,alternating_add_subtract,2
"[15, 24, 96, 105, 420, 429]",1716,alternating_sequence,2
"[25, 134, 679, 3404, 17029, 85154]",425779,linear_recursive,2
"[60, 53, 60, 53, 60, 53]",60,alternating_add_subtract,2
"[45, 26, 44, 115, 185, 344]",644,tribonacci,2
"[9, 3, 19, 12, 22, 31]",34,padovan,3
"[15, 25, 18, 58, 101, 177]",336,tribonacci,2
"[88, 81, 82, 75, 76, 69]",70,alternating_add_subtract,2
"[4, 5, 7, 10, 15, 23]",36,fib_minus_const,1
"[18, 25, 68, 161, 390, 941]",2272,pell,2
"[95, 133, 171, 209, 247, 285]",323,arithmetic,3
"[33, 80, 174, 362, 738, 1490]",2994,linear_recursive,2
"[25, 37, 62, 99, 161, 260]",421,fibonacci,2
"[21, 42, 84, 168, 336, 672]",1344,geometric,2
"[12, 26, 78, 92, 276, 290]",870,alternating_sequence,2
"[64, 69, 74, 79, 84, 89]",94,arithmetic,3
"[15, 4, 12, 19, 16, 31]",35,padovan,3
"[62, 74, 86, 98, 110, 122]",134,arithmetic,3
"[12, 2, 5, 14, 7, 19]",21,padovan,3
"[15, -19, -53, -87, -121, -155]",-189,arithmetic,3
"[19, 31, 93, 105, 315, 327]",981,alternating_sequence,2
"[2, 17, 7, 19, 24, 26]",43,padovan,3
"[29, 13, 9, 51, 73, 133]",257,tribonacci,2
"[8, 10, 1, 9, 19, 20]",29,generate_sequence,2
"[5, 10, 12, 15, 22, 27]",37,padovan,3
"[18, 15, 48, 111, 270, 651]",1572,pell,2
"[3, 16, 2, 5, 21, 23]",28,generate_sequence,2
"[28, 49, 126, 301, 728, 1757]",4242,pell,2
"[8, 33, 74, 181, 436, 1053]",2542,pell,2
"[17, 15, 16, 32, 31, 48]",63,padovan,3
"[31, 32, 95, 222, 539, 1300]",3139,pell,2
"[84, 68, 52, 36, 20, 4]",-12,arithmetic,3
"[4, 49, 94, 139, 184, 229]",274,arithmetic,3
"[9, 10, 17, 25, 40, 63]",101,fib_minus_const,1
"[93, 100, 107, 114, 121, 128]",135,arithmetic,3
"[43, 89, 135, 181, 227, 273]",319,arithmetic,3
"[2, 5, 13, 15, 20, 33]",48,generate_sequence,2
"[7, 20, 5, 27, 25, 32]",52,padovan,3
"[9, 10, 18, 19, 28, 37]",47,padovan,3
"[15, 11, 36, 62, 109, 207]",378,tribonacci,2
"[34, 151, 619, 2491, 9979, 39931]",159739,linear_recursive,2
"[17, 5, 22, 27, 49, 76]",125,fibonacci,2
"[12, 19, 31, 50, 81, 131]",212,fibonacci,2
"[22, 113, 568, 2843, 14218, 71093]",355468,linear_recursive,2
"[76, 80, 84, 88, 92, 96]",100,arithmetic,3
"[14, 11, 12, 9, 10, 7]",8,alternating_add_subtract,2
"[9, 8, 4, 17, 12, 21]",29,padovan,3
"[37, 28, 34, 25, 31, 22]",28,alternating_add_subtract,2
"[12, 15, 11, 27, 26, 38]",53,padovan,3
"[20, 19, 24, 23, 28, 27]",32,alternating_add_subtract,2
"[1, 24, 139, 714, 3589, 17964]",89839,linear_recursive,2
"[13, 16, 80, 83, 415, 418]",2090,alternating_sequence,2
"[39, 32, 71, 103, 174, 277]",451,fibonacci,2
"[73, 117, 161, 205, 249, 293]",337,arithmetic,3
"[49, 79, 109, 139, 169, 199]",229,arithmetic,3
"[55, 8, -39, -86, -133, -180]",-227,arithmetic,3
"[27, 19, 22, 14, 17, 9]",12,alternating_add_subtract,2
"[10, 5, 2, 12, 17, 19]",31,generate_sequence,2
"[28, 44, 88, 104, 208, 224]",448,alternating_sequence,2
"[19, 114, 589, 2964, 14839, 74214]",371089,linear_recursive,2
"[32, 30, 28, 26, 24, 22]",20,arithmetic,3
"[85, 79, 82, 76, 79, 73]",76,alternating_add_subtract,2
"[32, 29, 61, 90, 151, 241]",392,fibonacci,2
"[45, 3, 51, 105, 261, 627]",1515,pell,2
"[36, 31, 37, 32, 38, 33]",39,alternating_add_subtract,2
"[62, 54, 64, 56, 66, 58]",68,alternating_add_subtract,2
"[38, 84, 130, 176, 222, 268]",314,arithmetic,3
"[44, -88, 176, -352, 704, -1408]",2816,geometric,2
"[31, -13, -57, -101, -145, -189]",-233,arithmetic,3
"[53, 46, 51, 44, 49, 42]",47,alternating_add_subtract,2
"[58, 45, 32, 19, 6, -7]",-20,arithmetic,3
"[16, 12, 7, 28, 19, 35]",47,padovan,3
"[21, 23, 30, 74, 127, 231]",432,tribonacci,2
"[36, 188, 948, 4748, 23748, 118748]",593748,linear_recursive,2
"[10, 16, 14, 24, 40, 54]",78,generate_sequence,2
"[44, 78, 112, 146, 180, 214]",248,arithmetic,3
"[14, 37, 60, 83, 106, 129]",152,arithmetic,3
"[58, 43, 28, 13, -2, -17]",-32,arithmetic,3
"[19, 20, 14, 39, 34, 53]",73,padovan,3
"[16, 19, 8, 24, 43, 51]",75,generate_sequence,2
"[23, 54, 85, 116, 147, 178]",209,arithmetic,3
"[43, 30, 40, 113, 183, 336]",632,tribonacci,2
"[93, 84, 92, 83, 91, 82]",90,alternating_add_subtract,2
"[47, 49, 27, 123, 199, 349]",671,tribonacci,2
"[12, 12, 36, 84, 204, 492]",1188,pell,2
"[1, 9, 36, 44, 176, 184]",736,alternating_sequence,2
"[38, 19, 8, 65, 92, 165]",322,tribonacci,2
"[17, 3, 13, 20, 16, 33]",36,padovan,3
"[2, 2, 9, 4, 11, 13]",15,padovan,3
"[12, 13, 19, 25, 32, 44]",57,padovan,3
"[44, 46, 49, 139, 234, 422]",795,tribonacci,2
"[16, 32, 21, 69, 122, 212]",403,tribonacci,2
"[2, 4, 5, 8, 12, 19]",30,fib_minus_const,1
"[25, 27, 79, 185, 449, 1083]",2615,pell,2
"[15, 11, 10, 36, 57, 103]",196,tribonacci,2
"[42, 43, 44, 45, 46, 47]",48,arithmetic,3
"[16, 30, 120, 134, 536, 550]",2200,alternating_sequence,2
"[7, 12, 15, 22, 34, 49]",71,generate_sequence,2
"[42, 38, 48, 44, 54, 50]",60,alternating_add_subtract,2
"[76, 54, 32, 10, -12, -34]",-56,arithmetic,3
"[18, 66, 210, 642, 1938, 5826]",17490,linear_recursive,2
"[2, 22, 25, 49, 96, 170]",315,tribonacci,2
"[7, 9, 45, 47, 235, 237]",1185,alternating_sequence,2
"[25, 49, 73, 97, 121, 145]",169,arithmetic,3
"[28, 35, 10, 73, 118, 201]",392,tribonacci,2
"[8, 17, 13, 25, 30, 38]",55,padovan,3
"[15, 31, 46, 77, 123, 200]",323,fibonacci,2
"[48, 40, 32, 24, 16, 8]",0,arithmetic,3
"[12, 5, 12, 17, 17, 29]",34,padovan,3
"[26, 19, 48, 93, 160, 301]",554,tribonacci,2
"[5, 27, 93, 291, 885, 2667]",8013,linear_recursive,2
"[20, 4, 2, 24, 6, 26]",30,padovan,3
"[27, 28, 83, 194, 471, 1136]",2743,pell,2
"[9, 13, 3, 12, 25, 28]",40,generate_sequence,2
"[45, 151, 469, 1423, 4285, 12871]",38629,linear_recursive,2
"[54, 45, 50, 41, 46, 37]",42,alternating_add_subtract,2
"[25, 52, 79, 106, 133, 160]",187,arithmetic,3
"[48, 43, 50, 45, 52, 47]",54,alternating_add_subtract,2
"[39, 42, 210, 213, 1065, 1068]",5340,alternating_sequence,2
"[38, 12, -14, -40, -66, -92]",-118,arithmetic,3
"[34, 37, 71, 108, 179, 287]",466,fibonacci,2
"[52, 89, 126, 163, 200, 237]",274,arithmetic,3
"[10, 17, 44, 105, 254, 613]",1480,pell,2
"[12, 10, 2, 14, 24, 26]",40,generate_sequence,2
"[2, 27, 152, 777, 3902, 19527]",97652,linear_recursive,2
"[5, 2, 1, 7, 3, 8]",10,padovan,3
"[50, 46, 55, 51, 60, 56]",65,alternating_add_subtract,2
"[1, 43, 87, 217, 521, 1259]",3039,pell,2
"[29, 27, 25, 23, 21, 19]",17,arithmetic,3
"[31, 21, 22, 12, 13, 3]",4,alternating_add_subtract,2
"[26, 19, 64, 147, 358, 863]",2084,pell,2
"[6, 7, 15, 13, 22, 28]",35,padovan,3
"[64, 48, 32, 16, 0, -16]",-32,arithmetic,3
"[1, 19, 38, 56, 112, 130]",260,alternating_sequence,2
"[46, 13, 72, 157, 386, 929]",2244,pell,2
"[4, 13, 1, 17, 14, 18]",31,padovan,3
"[89, 79, 87, 77, 85, 75]",83,alternating_add_subtract,2
"[4, 5, 3, 9, 8, 12]",17,padovan,3
"[23, 28, 1, 52, 81, 134]",267,tribonacci,2
"[6, 40, 86, 212, 510, 1232]",2974,pell,2
"[66, 106, 146, 186, 226, 266]",306,arithmetic,3
"[16, 7, 2, 23, 9, 25]",32,padovan,3
"[25, 82, 253, 766, 2305, 6922]",20773,linear_recursive,2
"[19, 5, 2, 24, 7, 26]",31,padovan,3
"[32, 104, 320, 968, 2912, 8744]",26240,linear_recursive,2
"[10, 15, 15, 25, 30, 40]",55,padovan,3
"[5, 1, 18, 6, 19, 24]",25,padovan,3
"[7, 21, 63, 77, 231, 245]",735,alternating_sequence,2
"[4, -6, 1, -9, -2, -12]",-5,alternating_add_subtract,2
"[5, 13, 18, 23, 36, 54]",77,generate_sequence,2
"[3, 17, 18, 20, 35, 38]",55,padovan,3
"[32, 18, 68, 154, 376, 906]",2188,pell,2
"[31, 170, 865, 4340, 21715, 108590]",542965,linear_recursive,2
"[9, 6, 10, 11, 16, 22]",33,fib_minus_const,1
"[7, 13, 18, 20, 31, 38]",51,padovan,3
"[17, 45, 19, 81, 145, 245]",471,tribonacci,2
"[11, 15, 13, 26, 28, 39]",54,padovan,3
"[6, 7, 1, 13, 8, 14]",21,padovan,3
"[31, 44, 48, 123, 215, 386]",724,tribonacci,2
"[18, 11, 4, 22, 33, 37]",59,generate_sequence,2
"[17, 13, 17, 34, 47, 64]",98,generate_sequence,2
"[44, 50, 56, 62, 68, 74]",80,arithmetic,3
"[47, 45, 51, 49, 55, 53]",59,alternating_add_subtract,2
"[21, 17, 18, 56, 91, 165]",312,tribonacci,2
"[37, -111, 333, -999, 2997, -8991]",26973,geometric,2
"[21, 28, 25, 74, 127, 226]",427,tribonacci,2
"[98, 57, 16, -25, -66, -107]",-148,arithmetic,3
"[9, 47, 161, 503, 1529, 4607]",13841,linear_recursive,2
"[39, 93, 201, 417, 849, 1713]",3441,linear_recursive,2
"[70, 49, 28, 7, -14, -35]",-56,arithmetic,3
"[39, 36, 111, 258, 627, 1512]",3651,pell,2
"[9, 11, 10, 20, 21, 30]",41,padovan,3
"[10, 12, 16, 26, 38, 54]",80,generate_sequence,2
"[2, 9, 8, 11, 17, 19]",28,padovan,3
"[28, 4, 12, 44, 60, 116]",220,tribonacci,2
"[5, 18, 31, 44, 57, 70]",83,arithmetic,3
"[1, 13, 14, 27, 41, 68]",109,fibonacci,2
"[49, 21, 26, 96, 143, 265]",504,tribonacci,2
"[83, 45, 7, -31, -69, -107]",-145,arithmetic,3
"[44, 2, 42, 88, 132, 262]",482,tribonacci,2
"[85, 115, 145, 175, 205, 235]",265,arithmetic,3
"[11, 13, 19, 30, 43, 62]",92,generate_sequence,2
"[2, 32, 66, 164, 394, 952]",2298,pell,2
"[70, 68, 73, 71, 76, 74]",79,alternating_add_subtract,2
"[58, 92, 126, 160, 194, 228]",262,arithmetic,3
"[11, 18, 16, 29, 34, 45]",63,padovan,3
"[10, 4, 10, 10, 16, 22]",34,fib_minus_const,1
"[45, 41, 47, 43, 49, 45]",51,alternating_add_subtract,2
"[52, 48, 57, 53, 62, 58]",67,alternating_add_subtract,2
"[16, 48, 112, 272, 656, 1584]",3824,pell,2
"[89, 84, 92, 87, 95, 90]",98,alternating_add_subtract,2
"[15, 30, 1, 46, 77, 124]",247,tribonacci,2
"[40, 46, 52, 58, 64, 70]",76,arithmetic,3
"[42, 61, 244, 263, 1052, 1071]",4284,alternating_sequence,2
"[39, 10, 49, 59, 108, 167]",275,fibonacci,2
"[80, 108, 136, 164, 192, 220]",248,arithmetic,3
"[25, 9, 45, 79, 133, 257]",469,tribonacci,2
"[90, 52, 14, -24, -62, -100]",-138,arithmetic,3
"[22, -17, -56, -95, -134, -173]",-212,arithmetic,3
"[7, 34, 61, 88, 115, 142]",169,arithmetic,3
"[10, 37, 118, 361, 1090, 3277]",9838,linear_recursive,2
"[37, 33, 15, 85, 133, 233]",451,tribonacci,2
"[7, 4, 8, 15, 19, 27]",42,generate_sequence,2
"[8, 11, 6, 19, 17, 25]",36,padovan,3
"[20, 8, 10, 28, 18, 38]",46,padovan,3
"[8, 10, 10, 18, 20, 28]",38,padovan,3
"[5, 29, 63, 155, 373, 901]",2175,pell,2
"[20, 14, 6, 34, 20, 40]",54,padovan,3
"[1, 14, 14, 15, 29, 43]",58,generate_sequence,2
"[17, 19, 5, 36, 24, 41]",60,padovan,3
"[1, 13, 1, 14, 14, 15]",28,padovan,3
"[24, 17, 41, 58, 99, 157]",256,fibonacci,2
"[19, 63, 195, 591, 1779, 5343]",16035,linear_recursive,2
"[39, 76, 113, 150, 187, 224]",261,arithmetic,3
"[92, 52, 12, -28, -68, -108]",-148,arithmetic,3
"[45, 7, 2, 54, 63, 119]",236,tribonacci,2
"[30, 12, 42, 54, 96, 150]",246,fibonacci,2
"[6, 12, 18, 18, 30, 36]",48,padovan,3
"[34, 34, 68, 102, 170, 272]",442,fibonacci,2
"[31, 10, 41, 51, 92, 143]",235,fibonacci,2
"[44, 13, 70, 153, 376, 905]",2186,pell,2
"[19, 18, 10, 37, 28, 47]",65,padovan,3
"[4, 16, 1, 20, 17, 21]",37,padovan,3
"[52, 44, 36, 28, 20, 12]",4,arithmetic,3
"[38, 28, 29, 95, 152, 276]",523,tribonacci,2
"[16, 1, 18, 37, 92, 221]",534,pell,2
"[5, 23, 41, 59, 77, 95]",113,arithmetic,3
"[19, 32, 128, 141, 564, 577]",2308,alternating_sequence,2
"[66, 65, 75, 74, 84, 83]",93,alternating_add_subtract,2
"[30, 126, 510, 2046, 8190, 32766]",131070,linear_recursive,2
"[9, 2, 9, 9, 16, 23]",37,fib_minus_const,1
"[18, 5, 7, 23, 12, 30]",35,padovan,3
"[16, 49, 82, 115, 148, 181]",214,arithmetic,3
"[2, 25, 27, 52, 79, 131]",210,fibonacci,2
"[18, 19, 13, 31, 50, 63]",94,generate_sequence,2
"[18, 85, 353, 1425, 5713, 22865]",91473,linear_recursive,2
"[23, 13, 36, 49, 85, 134]",219,fibonacci,2
"[15, 10, 19, 14, 23, 18]",27,alternating_add_subtract,2
"[16, 23, 30, 37, 44, 51]",58,arithmetic,3
"[3, 15, 13, 18, 28, 31]",46,padovan,3
"[40, 80, 120, 160, 200, 240]",280,arithmetic,3
"[9, 20, 49, 118, 285, 688]",1661,pell,2
"[9, 57, 297, 1497, 7497, 37497]",187497,linear_recursive,2
"[61, 93, 125, 157, 189, 221]",253,arithmetic,3
"[45, 13, 71, 155, 381, 917]",2215,pell,2
"[24, 7, 18, 49, 74, 141]",264,tribonacci,2
"[22, 35, 92, 219, 530, 1279]",3088,pell,2
"[30, 154, 774, 3874, 19374, 96874]",484374,linear_recursive,2
"[13, 11, 19, 17, 25, 23]",31,alternating_add_subtract,2
"[52, 43, 45, 36, 38, 29]",31,alternating_add_subtract,2
"[4, 8, 14, 12, 22, 26]",34,padovan,3
"[17, 47, 77, 107, 137, 167]",197,arithmetic,3
"[4, 7, 6, 8, 9, 12]",16,fib_minus_const,1
"[55, 52, 49, 46, 43, 40]",37,arithmetic,3
"[4, 3, 12, 16, 19, 31]",47,generate_sequence,2
"[14, 13, 13, 27, 26, 40]",53,padovan,3
"[34, 28, 48, 110, 186, 344]",640,tribonacci,2
"[14, 13, 27, 40, 67, 107]",174,fibonacci,2
"[42, 3, 29, 74, 106, 209]",389,tribonacci,2
"[39, 25, 40, 104, 169, 313]",586,tribonacci,2
"[8, 2, 8, 16, 18, 26]",42,generate_sequence,2
"[86, 77, 80, 71, 74, 65]",68,alternating_add_subtract,2
"[4, 17, 6, 10, 27, 33]",43,generate_sequence,2
"[21, 13, 19, 11, 17, 9]",15,alternating_add_subtract,2
"[24, 61, 135, 283, 579, 1171]",2355,linear_recursive,2
"[23, 25, 48, 73, 121, 194]",315,fibonacci,2
"[45, 2, 26, 73, 101, 200]",374,tribonacci,2
"[90, 103, 116, 129, 142, 155]",168,arithmetic,3
"[19, 30, 49, 79, 128, 207]",335,fibonacci,2
"[28, 33, 61, 94, 155, 249]",404,fibonacci,2
"[48, 42, 49, 43, 50, 44]",51,alternating_add_subtract,2
"[45, 45, 135, 315, 765, 1845]",4455,pell,2
"[17, 5, 6, 23, 28, 34]",57,generate_sequence,2
"[13, 18, 1, 31, 19, 32]",50,padovan,3
"[3, 13, 9, 16, 22, 25]",38,padovan,3
"[8, 5, 7, 13, 12, 20]",25,padovan,3
"[33, 50, 250, 267, 1335, 1352]",6760,alternating_sequence,2
"[15, 27, 42, 69, 111, 180]",291,fibonacci,2
"[12, 19, 5, 17, 36, 41]",58,generate_sequence,2
"[2, 12, 3, 5, 17, 20]",25,generate_sequence,2
"[96, 106, 116, 126, 136, 146]",156,arithmetic,3
"[50, 52, 104, 106, 212, 214]",428,alternating_sequence,2
"[4, 10, 9, 14, 18, 27]",40,fib_minus_const,1
"[100, 55, 10, -35, -80, -125]",-170,arithmetic,3
"[7, 4, 8, 5, 9, 6]",10,alternating_add_subtract,2
"[3, 18, 12, 15, 33, 45]",60,generate_sequence,2
"[5, 11, 17, 16, 28, 33]",44,padovan,3
"[12, 18, 9, 30, 27, 39]",57,padovan,3
"[25, 38, 152, 165, 660, 673]",2692,alternating_sequence,2
"[20, 18, 16, 14, 12, 10]",8,arithmetic,3
"[5, 17, 51, 63, 189, 201]",603,alternating_sequence,2
"[87, 72, 57, 42, 27, 12]",-3,arithmetic,3
"[13, 3, 8, 21, 24, 32]",53,generate_sequence,2
"[43, 61, 79, 97, 115, 133]",151,arithmetic,3
"[1, 2, 8, 3, 10, 11]",13,padovan,3
"[24, 48, 120, 288, 696, 1680]",4056,pell,2
"[40, 30, 70, 100, 170, 270]",440,fibonacci,2
"[14, 63, 112, 161, 210, 259]",308,arithmetic,3
"[92, 86, 91, 85, 90, 84]",89,alternating_add_subtract,2
"[20, 1, 14, 21, 15, 35]",36,padovan,3
"[42, 59, 236, 253, 1012, 1029]",4116,alternating_sequence,2
"[51, 44, 54, 47, 57, 50]",60,alternating_add_subtract,2
"[7, 13, 13, 20, 26, 33]",46,padovan,3
"[34, 73, 151, 307, 619, 1243]",2491,linear_recursive,2
"[19, 4, 27, 58, 143, 344]",831,pell,2
"[36, 49, 245, 258, 1290, 1303]",6515,alternating_sequence,2
"[2, 9, 11, 11, 20, 22]",31,padovan,3
"[19, 4, 14, 33, 37, 51]",84,generate_sequence,2
"[23, 49, 33, 105, 187, 325]",617,tribonacci,2
"[80, 76, 83, 79, 86, 82]",89,alternating_add_subtract,2
"[35, 21, 19, 75, 115, 209]",399,tribonacci,2
"[33, 10, 14, 57, 81, 152]",290,tribonacci,2
"[68, 67, 75, 74, 82, 81]",89,alternating_add_subtract,2
"[30, 27, 24, 21, 18, 15]",12,arithmetic,3
"[95, 85, 75, 65, 55, 45]",35,arithmetic,3
"[41, 20, 41, 102, 163, 306]",571,tribonacci,2
"[29, 17, 63, 143, 349, 841]",2031,pell,2
"[11, 17, 18, 28, 35, 46]",63,padovan,3
"[49, 35, 21, 7, -7, -21]",-35,arithmetic,3
"[13, 6, 20, 19, 26, 39]",45,padovan,3
"[20, 99, 415, 1679, 6735, 26959]",107855,linear_recursive,2
"[11, 16, 20, 31, 47, 67]",98,generate_sequence,2
"[85, 78, 85, 78, 85, 78]",85,alternating_add_subtract,2
"[4, 10, 49, 63, 122, 234]",419,tribonacci,2
"[19, 12, 1, 31, 13, 32]",44,padovan,3
"[37, 123, 381, 1155, 3477, 10443]",31341,linear_recursive,2
"[19, 12, 14, 31, 26, 45]",57,padovan,3
"[43, 49, 15, 107, 171, 293]",571,tribonacci,2
"[1, 16, 7, 8, 24, 31]",39,generate_sequence,2
"[7, 4, 16, 23, 27, 43]",66,generate_sequence,2
"[19, 8, 35, 78, 191, 460]",1111,pell,2
"[46, 16, 47, 109, 172, 328]",609,tribonacci,2
"[49, 33, 115, 263, 641, 1545]",3731,pell,2
"[6, 9, 16, 15, 25, 31]",40,padovan,3
"[16, 37, 79, 163, 331, 667]",1339,linear_recursive,2
"[47, 19, 85, 189, 463, 1115]",2693,pell,2
"[5, 49, 1, 55, 105, 161]",321,tribonacci,2
"[15, 16, 80, 81, 405, 406]",2030,alternating_sequence,2
"[67, 63, 67, 63, 67, 63]",67,alternating_add_subtract,2
"[5, 6, 11, 17, 28, 45]",73,fibonacci,2
"[14, 59, 194, 599, 1814, 5459]",16394,linear_recursive,2
"[4, 3, 6, 8, 13, 20]",32,fib_minus_const,1
"[35, 33, 43, 41, 51, 49]",59,alternating_add_subtract,2
"[93, 46, -1, -48, -95, -142]",-189,arithmetic,3
"[18, 62, 194, 590, 1778, 5342]",16034,linear_recursive,2
"[30, 136, 560, 2256, 9040, 36176]",144720,linear_recursive,2
"[77, 118, 159, 200, 241, 282]",323,arithmetic,3
"[13, 10, 12, 23, 22, 35]",45,padovan,3
"[2, 12, 32, 72, 152, 312]",632,linear_recursive,2
"[27, 19, 25, 17, 23, 15]",21,alternating_add_subtract,2
"[16, 20, 18, 34, 54, 72]",106,generate_sequence,2
"[96, 52, 8, -36, -80, -124]",-168,arithmetic,3
"[14, 19, 11, 25, 44, 55]",80,generate_sequence,2
"[32, 25, 34, 27, 36, 29]",38,alternating_add_subtract,2
"[80, 77, 80, 77, 80, 77]",80,alternating_add_subtract,2
"[45, 46, 92, 93, 186, 187]",374,alternating_sequence,2
"[21, 16, 22, 17, 23, 18]",24,alternating_add_subtract,2
"[5, 12, 11, 16, 28, 39]",55,generate_sequence,2
"[29, 40, 45, 114, 199, 358]",671,tribonacci,2
"[42, 74, 106, 138, 170, 202]",234,arithmetic,3
"[9, 34, 109, 334, 1009, 3034]",9109,linear_recursive,2
"[10, 13, 20, 30, 43, 63]",93,generate_sequence,2
"[12, 30, 48, 66, 84, 102]",120,arithmetic,3
"[9, 20, 60, 71, 213, 224]",672,alternating_sequence,2
"[83, 43, 3, -37, -77, -117]",-157,arithmetic,3
"[24, 34, 23, 81, 138, 242]",461,tribonacci,2
"[10, 5, 3, 15, 8, 18]",23,padovan,3
"[22, 4, 30, 64, 158, 380]",918,pell,2
"[58, 62, 70, 82, 98, 118]",142,step_up,2
